"Community","County","Region","Community Population (2010)","CEC Designation Status","Advanced (v3.0) Designation","Community Size","Points Achieved","List of Completed High Impact Actions","Count of Completed High Impact Actions"
"City of New Rochelle","Westchester","Mid-Hudson","79,726","Designated CEC","5-Star","Large community","9,600","• CCA - 100% Renewable Default Supply (1500 points) - 10/1/2024 
 • CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 9/30/2024 
 • Clean Fleets (100 points) - 5/10/2017 
 • Clean Fleets - Charging Stations (200 points) - 6/13/2023 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 1/9/2024 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 7/5/2022 
 • Community Campaigns - Clean Heating and Cooling - Tier 2 (600 points) - 11/5/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 3 (700 points) - 11/5/2024 
 • Community Campaigns - Community Solar (200 points) - 9/17/2021 
 • Community Campaigns - Demand Response (200 points) - 6/22/2021 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 6/1/2021 
 • Community Choice Aggregation - Expired Version (0 points) - 12/12/2016 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 10/26/2021 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/28/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/6/2016 
 • LED Street Lights - Decorative Fixtures (200 points) - 5/4/2021 
 • NYStretch Energy Code (1200 points) - 8/24/2021 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 5/4/2021 
 • Property Assessed Clean Energy (PACE) Financing - Projects (300 points) - 5/16/2023","19"
"City of New York","New York","New York City","8,804,190","Designated CEC","4-Star","Large community","8,700","• Benchmarking - Large Private Buildings - LR (800 points) - 3/30/2021 
 • Benchmarking - Municipal Buildings (100 points) - 6/14/2018 
 • Clean Fleets (100 points) - 4/24/2017 
 • Clean Fleets - Heavy Duty Electric Vehicles (400 points) - 8/3/2021 
 • Clean Fleets - Light/Medium Duty Electric Vehicles (300 points) - 5/5/2022 
 • Clean Heating and Cooling Demo (700 points) - 6/28/2022 
 • DC Fast Charging Stations - Tier 1 (500 points) - 5/28/2024 
 • DC Fast Charging Stations - Tier 2 (800 points) - 6/11/2024 
 • DC Fast Charging Stations - Tier 3 (1200 points) - 6/26/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/14/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/29/2017 
 • LED Street Lights - Decorative Fixtures (200 points) - 9/17/2021 
 • Light-Duty Electric Vehicles - Tier 2 (500 points) - 5/28/2024 
 • Light-Duty Electric Vehicles - Tier 3 (700 points) - 6/26/2024 
 • NYStretch Energy Code (1200 points) - 9/17/2021 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 3/30/2021 
 • Property Assessed Clean Energy (PACE) Financing - Projects (300 points) - 11/4/2021 
 • Solarize (0 points) - 3/28/2017","18"
"City of Newburgh","Orange","Mid-Hudson","28,856","Designated CEC","","Medium community","500","• Benchmarking - Municipal Buildings (100 points) - 3/17/2017 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/9/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 12/4/2018 
 • Unified Solar Permit (200 points) - 6/20/2017","4"
"City of Niagara Falls","Niagara","Western New York","48,671","Designated CEC","1-Star","Large community","2,100","• Build Ready - Site Selection (700 points) - 8/13/2024 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 7/30/2024 
 • Community Campaigns - Community Solar - Tier 2 (300 points) - 7/30/2024 
 • Community Campaigns - Community Solar - Tier 3 (500 points) - 8/20/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/31/2023 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 4/5/2022","6"
"City of North Tonawanda","Niagara","Western New York","30,496","Designated CEC","2-Star","Medium community","3,400","• (Retired) Benchmarking - Advanced Reporting (200 points) - 5/5/2022 
 • Benchmarking - Municipal Buildings (100 points) - 2/18/2021 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/11/2022 
 • Community Campaigns - Community Solar - Tier 1 (200 points) - 7/2/2024 
 • Community Campaigns - Community Solar - Tier 2 (300 points) - 7/9/2024 
 • Community Campaigns - Community Solar - Tier 3 (500 points) - 8/20/2024 
 • Energize NY Finance (0 points) - 8/13/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/31/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 2/9/2021 
 • LED Street Lights - Decorative Fixtures (200 points) - 10/28/2022 
 • Municipal Clean Fleets Inventory (200 points) - 4/23/2024 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 3/24/2021","12"
"City of Norwich","Chenango","Southern Tier","7,051","Designated CEC","","Medium community","1,400","• (Retired) Benchmarking - Advanced Reporting (200 points) - 7/19/2022 
 • Benchmarking - Municipal Buildings (100 points) - 5/5/2022 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/29/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 3/29/2022 
 • Unified Solar Permit (200 points) - 5/5/2022","5"
"City of Ogdensburg","St. Lawrence","North Country","10,064","Designated CEC","","Medium community","500","• Benchmarking - Municipal Buildings (100 points) - 1/16/2018 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 5/17/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018 
 • Unified Solar Permit (200 points) - 2/6/2018","4"
"City of Olean","Cattaraugus","Western New York","13,937","Not Designated","","Medium community","200","• Energy Code Enforcement Training - Leadership Round (200 points) - 2/8/2023","1"
"City of Oneida","Madison","Central New York","10,329","Designated CEC","","Medium community","1,600","• Benchmarking - Municipal Buildings (100 points) - 2/7/2017 
 • Energize NY Finance (0 points) - 10/16/2017 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/31/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 8/15/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/9/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 12/9/2022 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 3/15/2023 
 • Unified Solar Permit (200 points) - 1/4/2017","8"
"City of Oneonta","Otsego","Mohawk Valley","13,079","Designated CEC","2-Star","Medium community","3,000","• 50% Conversion of Cobra Head Streetlights (700 points) - 1/16/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 4/10/2024 
 • Benchmarking - Municipal Buildings (100 points) - 12/19/2017 
 • Clean Fleets (100 points) - 12/4/2018 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 6/17/2024 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 8/20/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 9/6/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 12/5/2017 
 • Municipal Clean Fleets Inventory (200 points) - 7/9/2024 
 • Unified Solar Permit (200 points) - 8/15/2017","10"
"City of Oswego","Oswego","Central New York","16,921","Designated CEC","1-Star","Medium community","1,500","• (Retired) Benchmarking - Advanced Reporting (200 points) - 2/18/2021 
 • Benchmarking - Municipal Buildings (100 points) - 3/6/2018 
 • Clean Energy Upgrades (500 points) - 11/10/2022 
 • Energy Code Enforcement Training (300 points) - 2/13/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 3/20/2018 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 2/9/2021 
 • Unified Solar Permit (200 points) - 2/18/2021","7"
"City of Peekskill","Westchester","Mid-Hudson","25,431","Designated CEC","3-Star","Medium community","5,300","• Benchmarking - Municipal Buildings (100 points) - 12/4/2018 
 • CCA - 100% Renewable Default Supply (1500 points) - 10/15/2024 
 • CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 10/15/2024 
 • Climate Smart Communities Certification - Bronze (600 points) - 11/1/2023 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 3/24/2021 
 • Energize NY Finance (0 points) - 2/14/2017 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 3/15/2023 
 • Energy Code Enforcement Training - V.1 (0 points) - 5/10/2017 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 2/14/2017 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 1/25/2023 
 • Solarize (0 points) - 6/13/2017","11"
"City of Plattsburgh","Clinton","North Country","19,841","Designated CEC","3-Star","Medium community","5,100","• Clean Fleets - Charging Stations (200 points) - 4/27/2021 
 • Clean Fleets - Light/Medium Duty Electric Vehicles (300 points) - 10/11/2023 
 • Climate Smart Communities Certification - Bronze (600 points) - 10/11/2023 
 • Community Campaigns - Clean Heating and Cooling - Tier 1 (500 points) - 3/5/2024 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 5/17/2023 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 5/5/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 5/5/2022 
 • Light-Duty Electric Vehicles - Tier 2 (500 points) - 10/15/2024 
 • Light-Duty Electric Vehicles - Tier 3 (700 points) - 10/15/2024 
 • Municipal Building Demos: Clean Heating and Cooling - Tier 2 (1000 points) - 10/2/2024 
 • Municipal Clean Fleets Inventory (200 points) - 10/10/2024","11"
"City of Poughkeepsie","Dutchess","Mid-Hudson","31,577","Designated CEC","2-Star","Medium community","4,000","• CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 2/13/2024 
 • Climate Smart Communities Certification - Bronze (600 points) - 12/9/2022 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 1/26/2021 
 • Community Choice Aggregation - Expired Version (0 points) - 7/30/2019 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/9/2022 
 • Energy Code Enforcement Training - V.1 (0 points) - 5/10/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 4/10/2018 
 • Light-Duty Electric Vehicles - Tier 1 (300 points) - 2/13/2024 
 • Open C-PACE Authorization (200 points) - 2/13/2024","9"
"City of Rochester","Monroe","Finger Lakes","211,328","Designated CEC","3-Star","Large community","5,400","• CCA >= 50% and < 100% Renewable Default Supply Mix with 100% Opt-up Option (500 points) - 1/9/2024 
 • Clean Fleets (100 points) - 11/30/2016 
 • Clean Fleets - Charging Stations (200 points) - 11/1/2023 
 • Clean Fleets - Light/Medium Duty Electric Vehicles (300 points) - 5/16/2023 
 • Climate Smart Communities Certification - Bronze (600 points) - 2/14/2017 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 7/6/2021 
 • Energy Code Enforcement Training - Leadership Round (200 points) - 12/1/2021 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 4/6/2021 
 • Level 2 Charging Stations - Tier 2 (400 points) - 7/23/2024 
 • Light-Duty Electric Vehicles - Tier 2 (500 points) - 8/20/2024 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 3/9/2021 
 • Solarize (0 points) - 2/27/2017 
 • Unified Solar Permit (200 points) - 11/30/2016","13"
"City of Rome","Oneida","Mohawk Valley","32,127","Designated CEC","1-Star","Medium community","1,300","• 50% Conversion of Cobra Head Streetlights (700 points) - 9/10/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 9/10/2024 
 • Benchmarking - Municipal Buildings (100 points) - 3/28/2017 
 • Clean Fleets (100 points) - 2/27/2017 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/24/2017 
 • Unified Solar Permit (200 points) - 2/27/2017","6"
"City of Rye","Westchester","Mid-Hudson","16,592","Designated CEC","3-Star","Medium community","5,400","• Clean Fleets (100 points) - 8/13/2018 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 3/26/2024 
 • Community Campaigns - Clean Heating and Cooling (500 points) - 8/1/2022 
 • Community Campaigns - Community Solar (200 points) - 5/25/2021 
 • Community Campaigns - Demand Response (200 points) - 5/25/2021 
 • Community Campaigns - Electric Vehicles (200 points) - 4/18/2023 
 • Community Campaigns - Electric Vehicles - Lvl 2 (300 points) - 11/28/2023 
 • Community Campaigns - Electric Vehicles - Lvl 3 (500 points) - 11/28/2023 
 • Community Choice Aggregation - 100% Renewable Default Supply (1500 points) - 4/6/2021 
 • Energize NY Finance (0 points) - 7/10/2018 
 • Energy Code Enforcement Training - V.1 (0 points) - 6/19/2018 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 6/26/2018 
 • LED Street Lights - Decorative Fixtures (200 points) - 4/6/2021 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 4/6/2021","14"
"City of Salamanca","Cattaraugus","Western New York","5,929","Designated CEC","","Medium community","400","• Benchmarking - Municipal Buildings (100 points) - 2/16/2017 
 • Clean Fleets (100 points) - 2/7/2017 
 • Energy Code Enforcement Training - V.1 (0 points) - 2/16/2017 
 • Unified Solar Permit (200 points) - 2/16/2017","4"
"City of Saratoga Springs","Saratoga","Capital Region","28,491","Designated CEC","2-Star","Medium community","4,400","• 50% Conversion of Cobra Head Streetlights (700 points) - 7/23/2024 
 • 50% Conversion of Decorative Streetlights (200 points) - 7/23/2024 
 • Benchmarking - Advanced Reporting (300 points) - 6/26/2024 
 • Benchmarking - Municipal Buildings (100 points) - 10/16/2017 
 • Clean Fleets (100 points) - 1/16/2018 
 • Climate Smart Communities Certification - Bronze CSC Certification (800 points) - 1/16/2024 
 • Community Campaigns - Electric Vehicles - Tier 1 (200 points) - 9/30/2024 
 • Community Campaigns - Electric Vehicles - Tier 2 (300 points) - 9/30/2024 
 • Community Campaigns - Electric Vehicles - Tier 3 (500 points) - 9/30/2024 
 • DC Fast Charging Stations - Tier 1 (500 points) - 4/9/2024 
 • Energy Code Enforcement Training (300 points) - 4/10/2024 
 • Open C-PACE Authorization (200 points) - 2/6/2024 
 • Solarize (0 points) - 11/21/2017 
 • Unified Solar Permit (200 points) - 1/30/2017","14"
"City of Schenectady","Schenectady","Capital Region","67,047","Designated CEC","","Large community","2,100","• Clean Fleets (100 points) - 3/3/2017 
 • Climate Smart Communities Certification - Bronze (600 points) - 6/8/2021 
 • Energize NY Finance (0 points) - 5/5/2020 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 3/24/2021 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 3/24/2021 
 • Property Assessed Clean Energy (PACE) Financing - Projects (300 points) - 3/24/2021 
 • Unified Solar Permit (200 points) - 10/25/2016","7"
"City of Sherrill","Oneida","Mohawk Valley","3,077","Designated CEC","","Small community","800","• Benchmarking - Municipal Buildings (100 points) - 4/10/2018 
 • Clean Energy Upgrades (500 points) - 4/26/2018 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/10/2018 
 • Unified Solar Permit (200 points) - 4/10/2018","4"
"City of Syracuse","Onondaga","Central New York","148,620","Designated CEC","1-Star","Large community","2,100","• Benchmarking - Municipal Buildings (100 points) - 5/10/2018 
 • Clean Fleets (100 points) - 2/6/2018 
 • Energize NY Finance (0 points) - 2/27/2020 
 • Energy Code Enforcement Training (300 points) - 6/4/2024 
 • Energy Code Enforcement Training - V.1 (0 points) - 4/7/2020 
 • LED Street Lights - Cobra Head Fixtures (700 points) - 12/9/2022 
 • LED Street Lights - Decorative Fixtures (200 points) - 12/9/2022 
 • Property Assessed Clean Energy (PACE) Financing - Authorize Open C-PACE Locally (200 points) - 1/31/2023 
 • Property Assessed Clean Energy (PACE) Financing - Projects (300 points) - 1/31/2023 
 • Solarize (0 points) - 2/6/2018 
 • Unified Solar Permit (200 points) - 4/26/2018","11"
